season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
2,6,23,The Cooper-Nowitzki Theorem,Mark Cendrowski,Story by: Stephen Engel & Daley HaggarTeleplay by: Tim Doyle & Richard Rosenstock,2008-11-03,3T7356,9670000.0
2,7,24,The Panty Piñata Polarization,Mark Cendrowski,Story by: Bill Prady & Tim DoyleTeleplay by: Jennifer Glickman & Steven Molaro,2008-11-10,3T7357,10010000.0
2,8,25,The Lizard-Spock Expansion,Mark Cendrowski,Story by: Bill PradyTeleplay by: Dave Goetsch & Jennifer Glickman,2008-11-17,3T7358,9760000.0
2,9,26,The White Asparagus Triangulation,Mark Cendrowski,Story by: Dave Goetsch & Steven MolaroTeleplay by: Stephen Engel & Richard Rosenstock,2008-11-24,3T7359,10190000.0
2,10,27,The Vartabedian Conundrum,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Bill Prady & Richard Rosenstock,2008-12-08,3T7360,10800000.0
2,11,28,The Bath Item Gift Hypothesis,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Stephen Engel & Eric Kaplan,2008-12-15,3T7361,11420000.0
2,12,29,The Killer Robot Instability,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Steven Molaro & Daley Haggar,2009-01-12,3T7362,11810000.0
2,13,30,The Friendship Algorithm,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Chuck Lorre & Steven Molaro,2009-01-19,3T7363,11100000.0
2,14,31,The Financial Permeability,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Richard Rosenstock & Eric Kaplan,2009-02-02,3T7364,10890000.0
2,15,32,The Maternal Capacitance,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Richard Rosenstock & Steven Molaro,2009-02-09,3T7365,13110000.0
2,16,33,The Cushion Saturation,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,2009-03-02,3T7366,10940000.0
2,17,34,The Terminator Decoupling,Mark Cendrowski,Story by: Bill Prady & Dave GoetschTeleplay by: Tim Doyle & Stephen Engel,2009-03-09,3T7367,9460000.0
2,18,35,The Work Song Nanocluster,Peter Chakos,Story by: Bill Prady & Lee AronsohnTeleplay by: Dave Goetsch & Richard Rosenstock,2009-03-16,3T7368,9760000.0
2,19,36,The Dead Hooker Juxtaposition,Mark Cendrowski,Steven Molaro,2009-03-30,3T7369,9770000.0
2,20,37,The Hofstadter Isotope,Mark Cendrowski,Dave Goetsch,2009-04-13,3T7370,10130000.0
2,21,38,The Vegas Renormalization,Mark Cendrowski,Story by: Jessica Ambrosetti & Nicole Lorre & Andrew RothTeleplay by: Steven Molaro,2009-04-27,3T7371,9310000.0
2,22,39,The Classified Materials Turbulence,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Steven Molaro,2009-05-04,3T7373,9250000.0
2,23,40,The Monopolar Expedition,Mark Cendrowski,Eric Kaplan & Richard Rosenstock,2009-05-11,3T7372,9810000.0
3,1,41,The Electric Can Opener Fluctuation,Mark Cendrowski,Steven Molaro,2009-09-21,3X5551,12960000.0
3,2,42,The Jiminy Conjecture,Mark Cendrowski,Jim Reynolds,2009-09-28,3X5552,13270000.0
3,3,43,The Gothowitz Deviation,Mark Cendrowski,Story by: Lee Aronsohn & Richard RosenstockTeleplay by: Bill Prady & Maria Ferrari,2009-10-05,3X5553,12520000.0
3,4,44,The Pirate Solution,Mark Cendrowski,Steve Holland,2009-10-12,3X5554,13070000.0
3,5,45,The Creepy Candy Coating Corollary,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Steven Molaro,2009-10-19,3X5556,13470000.0
3,6,46,The Cornhusker Vortex,Mark Cendrowski,Story by: Bill Prady & Steven MolaroTeleplay by: Dave Goetsch & Richard Rosenstock,2009-11-02,3X5555,12730000.0
3,7,47,The Guitarist Amplification,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Richard Rosenstock & Jim Reynolds,2009-11-09,3X5557,12790000.0
3,8,48,The Adhesive Duck Deficiency,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Dave GoetschTeleplay by: Steven Molaro & Eric Kaplan & Maria Ferrari,2009-11-16,3X5558,13230000.0
3,9,49,The Vengeance Formulation,Mark Cendrowski,Story by: Chuck Lorre & Maria FerrariTeleplay by: Richard Rosenstock & Jim Reynolds & Steve Holland,2009-11-23,3X5559,14130000.0
3,10,50,The Gorilla Experiment,Mark Cendrowski,Story by: Chuck Lorre & Richard Rosenstock & Steve HollandTeleplay by: Bill Prady & Steven Molaro & Maria Ferrari,2009-12-07,3X5560,14380000.0
3,11,51,The Maternal Congruence,Mark Cendrowski,Story by: Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria FerrariTeleplay by: Chuck Lorre & Bill Prady & Dave Goetsch,2009-12-14,3X5562,15580000.0
3,12,52,The Psychic Vortex,Mark Cendrowski,Story by: Lee Aronsohn & Steven MolaroTeleplay by: Chuck Lorre & Eric Kaplan & Jim Reynolds,2010-01-11,3X5561,15820000.0
3,13,53,The Bozeman Reaction,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Jim ReynoldsTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,2010-01-18,3X5563,14990000.0
3,14,54,The Einstein Approximation,Mark Cendrowski,Story by: Lee Aronsohn & Dave Goetsch & Steve HollandTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,2010-02-01,3X5565,15510000.0
3,15,55,The Large Hadron Collision,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by: Lee Aronsohn & Richard Rosenstock & Maria Ferrari,2010-02-08,3X5564,16260000.000000002
3,16,56,The Excelsior Acquisition,Peter Chakos,Story by: Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by: Bill Prady & Steve Holland & Maria Ferrari,2010-03-01,3X5566,15730000.0
3,17,57,The Precious Fragmentation,Mark Cendrowski,Story by: Lee Aronsohn & Eric Kaplan & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Richard Rosenstock,2010-03-08,3X5567,16320000.0
3,18,58,The Pants Alternative,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Eric Kaplan & Richard Rosenstock & Jim Reynolds,2010-03-22,3X5568,13420000.0
3,19,59,The Wheaton Recurrence,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica AmbrosettiTeleplay by: Bill Prady & Dave Goetsch & Jim Reynolds & Maria Ferrari,2010-04-12,3X5569,13390000.0
3,20,60,The Spaghetti Catalyst,Anthony Rich,Chuck Lorre & Bill Prady & Lee Aronsohn & Steven Molaro,2010-05-03,3X5570,11630000.0
3,21,61,The Plimpton Stimulation,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Lee AronsohnTeleplay by: Steven Molaro & Jim Reynolds & Maria Ferrari,2010-05-10,3X5571,13730000.0
3,22,62,The Staircase Implementation,Mark Cendrowski,Story by: Lee Aronsohn & Steven Molaro & Steve HollandTeleplay by: Chuck Lorre & Dave Goetsch & Maria Ferrari,2010-05-17,3X5572,15020000.0
3,23,63,The Lunar Excitation,Peter Chakos,Story by: Chuck Lorre & Bill Prady & Maria FerrariTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,2010-05-24,3X5573,14780000.0
4,1,64,The Robotic Manipulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,2010-09-23,3X6651,14040000.0
4,2,65,The Cruciferous Vegetable Amplification,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Steve HollandTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,2010-09-30,3X6652,13050000.0
4,3,66,The Zazzy Substitution,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by: Lee Aronsohn & Steven Molaro & Maria Ferrari,2010-10-07,3X6653,12590000.0
4,4,67,The Hot Troll Deviation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Adam FabermanTeleplay by: Bill Prady & Lee Aronsohn & Maria Ferrari,2010-10-14,3X6654,12570000.0
4,5,68,The Desperation Emanation,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,2010-10-21,3X6655,13050000.0
4,6,69,The Irish Pub Formulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by: Bill Prady & Eric Kaplan & Maria Ferrari,2010-10-28,3X6656,13040000.0
4,7,70,The Apology Insufficiency,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2010-11-04,3X6657,14000000.0
4,8,71,The 21-Second Excitation,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,2010-11-11,3X6658,13110000.0
4,9,72,The Boyfriend Complexity,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Dave Goetsch,2010-11-18,3X6659,13020000.0
4,10,73,The Alien Parasite Hypothesis,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Steve HollandTeleplay by: Lee Aronsohn & Jim Reynolds & Maria Ferrari,2010-12-09,3X6660,12030000.0
4,11,74,The Justice League Recombination,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2010-12-16,3X6661,13240000.0
4,12,75,The Bus Pants Utilization,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Eric Kaplan,2011-01-06,3X6662,13980000.0
4,13,76,The Love Car Displacement,Anthony Rich,Story by: Chuck Lorre & Bill Prady & Dave GoetschTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,2011-01-20,3X6663,13630000.0
4,14,77,The Thespian Catalyst,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Maria Ferrari,2011-02-03,3X6664,13830000.0
4,15,78,The Benefactor Factor,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by: Chuck Lorre & Eric Kaplan & Steve Holland,2011-02-10,3X6665,12790000.0
4,16,79,The Cohabitation Formulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,2011-02-17,3X6666,12410000.0
4,17,80,The Toast Derivation,Mark Cendrowski,Story by: Bill Prady & Dave Goetsch & Maria FerrariTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,2011-02-24,3X6667,12350000.0
